Avatar|$425,000,000|$2,779,506,622
Pirates of the Caribbean: On Stranger Tides|$410,600,000|$1,045,663,875
Avengers: Age of Ultron|$330,600,000|$1,408,218,722
Star Wars Ep. VII: The Force Awakens|$306,000,000|$2,058,662,225
Avengers: Infinity War|$300,000,000|$2,011,006,124
Pirates of the Caribbean: At Worldâs End|$300,000,000|$963,420,425
Justice League|$300,000,000|$655,953,446
Spectre|$300,000,000|$879,620,923
The Dark Knight Rises|$275,000,000|$1,084,439,099
The Lone Ranger|$275,000,000|$260,002,115
John Carter|$275,000,000|$282,778,100
Tangled|$260,000,000|$586,477,240
Spider-Man 3|$258,000,000|$894,860,230
Captain America: Civil War|$250,000,000|$1,153,304,495
Batman v Superman: Dawn of Justice|$250,000,000|$868,160,194
The Hobbit: An Unexpected Journey|$250,000,000|$1,017,003,568
Harry Potter and the Half-Blood Prince|$250,000,000|$935,083,686
The Hobbit: The Desolation of Smaug|$250,000,000|$960,366,855
The Hobbit: The Battle of the Five Armies|$250,000,000|$955,119,788
The Fate of the Furious|$250,000,000|$1,237,466,026
Solo: A Star Wars Story|$250,000,000|$341,238,432
Superman Returns|$232,000,000|$374,085,065
Pirates of the Caribbean: Dead Men Tell No Tales|$230,000,000|$790,697,888
Quantum of Solace|$230,000,000|$591,692,078
The Avengers|$225,000,000|$1,519,479,547
Pirates of the Caribbean: Dead Manâs Chest|$225,000,000|$1,066,215,812
Man of Steel|$225,000,000|$667,999,518
The Chronicles of Narnia: Prince Caspian|$225,000,000|$417,341,288
The Amazing Spider-Man|$220,000,000|$757,890,267
Transformers: The Last Knight|$217,000,000|$603,968,683
Jurassic World|$215,000,000|$1,671,713,208
Men in Black 3|$215,000,000|$654,213,485
Transformers: Revenge of the Fallen|$210,000,000|$836,519,699
Transformers: Age of Extinction|$210,000,000|$1,104,039,076
X-Men: The Last Stand|$210,000,000|$459,260,946
Robin Hood|$210,000,000|$322,459,006
Battleship|$209,000,000|$305,218,228
King Kong|$207,000,000|$550,517,357
The Golden Compass|$205,000,000|$367,262,558
Black Panther|$200,000,000|$1,346,636,994
Titanic|$200,000,000|$2,208,208,395
Rogue One: A Star Wars Story|$200,000,000|$1,050,988,488
Finding Dory|$200,000,000|$1,022,617,376
Toy Story 3|$200,000,000|$1,069,666,004
Iron Man 3|$200,000,000|$1,215,392,272
Guardians of the Galaxy Vol 2|$200,000,000|$862,889,714
Spider-Man 2|$200,000,000|$795,110,670
Alice in Wonderland|$200,000,000|$1,025,491,110
Skyfall|$200,000,000|$1,110,526,981
Monsters University|$200,000,000|$743,588,329
Oz the Great and Powerful|$200,000,000|$490,359,051
X-Men: Days of Future Past|$200,000,000|$747,862,775
The Amazing Spider-Man 2|$200,000,000|$708,996,336
Cars 2|$200,000,000|$560,155,383
Tron: Legacy|$200,000,000|$400,062,763
2012|$200,000,000|$788,408,539
Terminator Salvation|$200,000,000|$365,491,792
Green Lantern|$200,000,000|$219,535,492
Prince of Persia: Sands of Time|$200,000,000|$314,594,597
Transformers: Dark of the Moon|$195,000,000|$1,123,790,543
The Mummy|$195,000,000|$410,333,326
Jack the Giant Slayer|$195,000,000|$197,687,603
Furious 7|$190,000,000|$1,518,722,794
Star Trek Into Darkness|$190,000,000|$467,381,584
World War Z|$190,000,000|$531,514,650
The Great Gatsby|$190,000,000|$351,040,419
Disneyâs A Christmas Carol|$190,000,000|$315,709,697
Pacific Rim|$190,000,000|$411,002,906
The Good Dinosaur|$187,500,000|$334,350,427
Iron Man|$186,000,000|$585,171,547
The Dark Knight|$185,000,000|$1,001,620,618
Indiana Jones and the Kingdom of the Crystal Skull|$185,000,000|$786,635,413
Brave|$185,000,000|$554,606,532
Kong: Skull Island|$185,000,000|$561,089,941
Star Trek Beyond|$185,000,000|$336,398,312
